       145--2013.0814.2214.55       114    ---    [0.4202294008]       [             Chiron]  eleven           [Juno               ]
       146--2013.0814.2214.55       114    ---    [0.4227718642]       [      Pallas Athene]  eleven           [Photographia       ]
       147--2013.0814.2214.55       114    ---    [0.4300396860]       [         Compassion]  trine            [Sweet              ]
       148--2013.0814.2214.55       114    ---    [0.4425824125]       [            Fortuna]  binovile         [Pax                ]
       149--2013.0814.2214.55       114    ---    [0.4427465532]       [               Eros]  eleven           [Valentine          ]
       150--2013.0814.2214.55       114    ---    [0.4436395715]       [       Photographia]  trine            [Lust               ]
       151--2013.0814.2214.55       114    ---    [0.4479635128]       [             Uranus]  novile           [Thalia             ]
       152--2013.0814.2214.55       114    ---    [0.4495591684]       [              Vesta]  novile           [Galilea            ]
       153--2013.0814.2214.55       114    ---    [0.4508830603]       [              Bella]  septile          [Adonis             ]
       154--2013.0814.2214.55       114    ---    [0.4516839161]       [         Constantia]  square           [Desiderata         ]
       155--2013.0814.2214.55       114    ---    [0.4527873268]       [             Unitas]  septile          [Valentine          ]
       156--2013.0814.2214.55       114    ---    [0.4590054535]       [               Siri]  triseptile       [Eros               ]
       157--2013.0814.2214.55       114    ---    [0.4607696204]       [             Sappho]  sextile          [Siri               ]
       158--2013.0814.2214.55       114    ---    [0.4609611103]       [             Chiron]  biseptile        [Fortuna            ]
       159--2013.0814.2214.55       114    ---    [0.4666295261]       [              Pluto]  sesqisquare      [Ceres              ]
       160--2013.0814.2214.55       114    ---    [0.4707596757]       [              Pluto]  quintile         [Felicitas          ]
       161--2013.0814.2214.55       114    ---    [0.4712335855]       [             Unitas]  sesqisquare      [Sweet              ]
       162--2013.0814.2214.55       114    ---    [0.4765169797]       [                Sun]  semisextile      [Ambrosia           ]
       163--2013.0814.2214.55       114    ---    [0.4786064091]       [            Mercury]  quincunx         [Chiron             ]
       164--2013.0814.2214.55       114    ---    [0.4793098413]       [             Adonis]  quintile         [Sweet              ]
       165--2013.0814.2214.55       114    ---    [0.4805207887]       [            Mercury]  sextile          [Lust               ]
       166--2013.0814.2214.55       114    ---    [0.4828916656]       [            Eunomia]  trine            [Valentine          ]
       167--2013.0814.2214.55       114    ---    [0.4837681121]       [               Juno]  biseptile        [Felicitas          ]
       168--2013.0814.2214.55       114    ---    [0.4846119688]       [        Philosophia]  conjunct         [Chaldea            ]
       169--2013.0814.2214.55       114    ---    [0.4876816118]       [              Fides]  sextile          [Felicitas          ]
       170--2013.0814.2214.55       114    ---    [0.5001971532]       [              Vesta]  semisextile      [Venusia            ]
       171--2013.0814.2214.55       114    ---    [0.5029048730]       [  North Node (true)]  novile           [Fiducia            ]
       172--2013.0814.2214.55       114    ---    [0.5049423847]       [              Pluto]  sextile          [Kama               ]
